Board Name,Pin Title,Image URL,Amazon Affiliate Link
⌚ Timeless Watches,Seiko 5 SNXS79 - The Understated Classic,https://oldmoneypicks.com/images/products/seiko-5-snxs79.jpg,https://www.amazon.com/dp/B004YDLF3A?tag=oldmoneypicks-20
⌚ Timeless Watches,Casio A168WG-9 - Retro Gold Digital,https://oldmoneypicks.com/images/products/casio-a168wg-9.jpg,https://www.amazon.com/dp/B01M09CT2Q?tag=oldmoneypicks-20
⌚ Timeless Watches,Timex Marlin - Mid-Century Hand-Wound,https://oldmoneypicks.com/images/products/timex-marlin.jpg,https://www.amazon.com/dp/B08K2GT7GB?tag=oldmoneypicks-20
⌚ Timeless Watches,Tissot PRX Powermatic 80 - Ice Blue,https://oldmoneypicks.com/images/products/tissot-prx-powermatic-80.jpg,https://www.amazon.com/dp/B0CDP157F4?tag=oldmoneypicks-20
⌚ Timeless Watches,Orient Bambino Small Seconds - Champagne,https://oldmoneypicks.com/images/products/orient-bambino.jpg,https://www.amazon.com/dp/B078BY3B1B?tag=oldmoneypicks-20
👜 Quiet Luxury Leather,Coach Pebbled Leather Card Holder,https://oldmoneypicks.com/images/products/coach-card-holder.jpg,https://www.amazon.com/dp/B07PJFNTHT?tag=oldmoneypicks-20
👜 Quiet Luxury Leather,Fossil Minimalist Slim Wallet,https://oldmoneypicks.com/images/products/fossil-slim-wallet.jpg,https://www.amazon.com/dp/B0BJ7T1BS7?tag=oldmoneypicks-20
👜 Quiet Luxury Leather,Leatherology Leather Desk Pad,https://oldmoneypicks.com/images/products/leatherology-desk-pad.jpg,https://www.amazon.com/dp/B01N2AL2MK?tag=oldmoneypicks-20
👜 Quiet Luxury Leather,Hide & Drink Leather Watch Roll,https://oldmoneypicks.com/images/products/hide-and-drink-watch-roll.jpg,https://www.amazon.com/dp/B07L15L48X?tag=oldmoneypicks-20
👜 Quiet Luxury Leather,Royce Leather Valet Tray,https://oldmoneypicks.com/images/products/royce-leather-valet-tray.jpg,https://www.amazon.com/dp/B00WKL39ZA?tag=oldmoneypicks-20
🌿 Signature Scents,Nautica Voyage Eau de Toilette,https://oldmoneypicks.com/images/products/nautica-voyage.jpg,https://www.amazon.com/dp/B000P22TIY?tag=oldmoneypicks-20
🌿 Signature Scents,CK One unisex,https://oldmoneypicks.com/images/products/ck-one.jpg,https://www.amazon.com/dp/B000E7WFX4?tag=oldmoneypicks-20
🌿 Signature Scents,Givenchy Gentleman Boisee Eau De Parfum,https://oldmoneypicks.com/images/products/givenchy-gentleman-boisee.jpg,https://www.amazon.com/dp/B0855L81LL?tag=oldmoneypicks-20
🌿 Signature Scents,Versace Eros by Versace for Men - 6.7 oz Parfum Spray,https://oldmoneypicks.com/images/products/versace-eros.jpg,https://www.amazon.com/dp/B0BBR9LQV3?tag=oldmoneypicks-20
🌿 Signature Scents,Jo Malone Wood Sage Sea Salt,https://oldmoneypicks.com/images/products/jo-malone-wood-sage-sea-salt.jpg,https://www.amazon.com/dp/B00VL1H4KQ?tag=oldmoneypicks-20
👔 Quiet Luxury Fashion,Polo Ralph Lauren Oxford shirt white,https://oldmoneypicks.com/images/products/polo-ralph-lauren-oxford.jpg,https://www.amazon.com/dp/B0D15F8XZY?tag=oldmoneypicks-20
👔 Quiet Luxury Fashion,Brooks Brothers non iron slim fit,https://oldmoneypicks.com/images/products/brooks-brothers-non-iron.jpg,https://www.amazon.com/dp/B074R5GC2V?tag=oldmoneypicks-20
👔 Quiet Luxury Fashion,cashmere v neck sweater navy,https://oldmoneypicks.com/images/products/cashmere-v-neck-sweater.jpg,https://www.amazon.com/dp/B00WSAYH9K?tag=oldmoneypicks-20
🏛️ Elegant Living,LAFCO chamomile lavender candle,https://oldmoneypicks.com/images/products/lafco-candle.jpg,https://www.amazon.com/dp/B002LK414S?tag=oldmoneypicks-20
🏛️ Elegant Living,Waterford Lismore crystal tumbler,https://oldmoneypicks.com/images/products/waterford-lismore-tumbler.jpg,https://www.amazon.com/dp/B000SMQ7JS?tag=oldmoneypicks-20
🏛️ Elegant Living,marble brass bookends,https://oldmoneypicks.com/images/products/marble-brass-bookends.jpg,https://www.amazon.com/dp/B08NFHN5PQ?tag=oldmoneypicks-20
🏛️ Elegant Living,Ralph Lauren cashmere throw blanket,https://oldmoneypicks.com/images/products/ralph-lauren-cashmere-throw.jpg,https://www.amazon.com/dp/B01MR6KQ4E?tag=oldmoneypicks-20
🏛️ Elegant Living,Diptyque Baies scented oval,https://oldmoneypicks.com/images/products/diptyque-baies-candle.jpg,https://www.amazon.com/dp/B004RVBSKE?tag=oldmoneypicks-20
